Uid,PostId,SnippetId,CloneClassnumber,CloneSize,Similarity,CodeLength,Grunality,A_ownerId,A_length,A_CreateDate,A_Score,A_NoOfBoldTags,A_NoOfCodeSnippets,A_NoOfComments,A_NoOfEditOrRevision,Answerer_ReputationScore,Answerer_Upvotes,Answerer_DownVotes,Answerer_PostedQuestions,Answerer_PostedAnswers,Answerer_NoOfRevision,Answerer_NoOfRevisionInAnswer,A_CodeRatioPercentage,A_LinkTags,A_ItalicTags,A_TotalCodeLength,A_codeRatio
5482,34089022,1,511,15,70,426,Blocks,3582362,531,2015-12-04 13:01:59,0,0,3,2,2,782,25,22,6,76,136,2,81.0861,0,0,433,0.8109
5483,9985813,1,511,15,70,336,Blocks,1228887,399,2012-04-03 0:59:29,2,0,2,0,1,5157,38,45,2,177,297,1,82.5,0,0,330,0.825
5484,32771681,1,512,13,92,355,Blocks,539048,1374,2015-09-24 22:03:51,7,0,2,0,1,2856,6151,8,49,84,381,1,57.9176,1,0,801,0.5792
5485,32771681,1,512,13,92,355,Blocks,539048,1374,2015-09-24 22:03:51,7,0,2,0,1,2856,6151,8,49,84,381,1,57.9176,1,0,801,0.5792
5486,29017289,1,513,11,100,1145,Blocks,2520773,2553,2015-03-12 18:13:23,4,2,10,0,1,415,242,1,8,6,53,1,50.3127,1,0,1287,0.5031
5487,29238764,1,513,11,100,569,Blocks,4616696,608,2015-03-24 17:07:16,1,0,2,2,1,1370,34,0,0,77,154,1,92.775,0,0,565,0.9278
5488,31454639,1,514,13,76,442,Blocks,5123439,688,2015-07-16 12:49:34,1,0,3,3,1,370,51,5,4,16,38,1,66.4275,1,0,463,0.6643
5489,7227191,1,514,13,76,309,Blocks,785541,1456,2011-08-29 7:16:48,4,0,6,3,1,49394,916,564,1,1171,4019,1,25.7999,3,0,379,0.258
5490,28468550,1,515,11,100,203,Blocks,1381529,1423,2015-02-12 3:02:24,0,0,2,0,2,338,22,1,0,25,34,1,13.7812,5,1,199,0.1378
5491,7503273,1,515,11,100,203,Blocks,669718,1499,2011-09-21 16:28:08,11,0,9,3,3,321,10,4,1,6,13,1,43.7666,0,0,660,0.4377
5492,30093212,1,516,15,100,668,Blocks,992484,2473,2015-05-07 6:12:22,3,0,14,3,2,300909,10979,1441,15,10157,19134,2,41.0843,2,0,1023,0.4108
5493,48834601,1,516,15,100,728,Blocks,992484,7728,2018-02-16 20:45:14,1,0,14,9,3,300909,10979,1441,15,10157,19134,3,64.3493,2,0,4989,0.6435
5494,33962207,1,517,12,100,353,Blocks,3636474,869,2015-11-27 17:22:16,1,2,4,0,1,20,23,0,5,1,17,1,74.023,0,0,644,0.7402
5495,32608331,1,517,12,100,251,Blocks,4458354,364,2015-09-16 12:14:33,0,0,2,0,2,1014,75,15,2,103,142,2,83.8356,0,0,306,0.8384
5496,34464459,1,518,15,73,531,Blocks,3832970,1719,2015-12-25 16:23:47,1,2,9,1,2,320105,13006,29017,0,11347,27454,1,39.0482,4,1,681,0.3905
5497,53452838,1,518,15,73,608,Blocks,3832970,2139,2018-11-23 20:55:28,1,1,15,2,4,320105,13006,29017,0,11347,27454,2,51.3933,2,0,1125,0.5139
5498,32547772,1,519,10,70,583,Blocks,4999394,1627,2015-09-13 8:26:53,1,1,3,2,4,30129,3016,116,64,948,3386,4,49.9392,2,0,822,0.4994
5499,28007846,1,519,10,70,342,Blocks,2826417,487,2015-01-18 6:51:10,0,0,2,1,2,1417,54,11,5,180,232,1,82.3171,0,0,405,0.8232
5500,30604632,1,520,12,83,399,Blocks,1032167,675,2015-06-02 19:12:06,3,0,3,0,1,11553,723,5,5,210,447,1,61.5836,0,0,420,0.6158
5501,47346983,1,520,12,83,320,Blocks,4029284,490,2017-11-17 9:14:01,1,0,3,1,2,941,1215,376,2,48,127,1,85.5397,0,0,420,0.8554
5502,34537029,1,521,12,75,440,Blocks,2442804,988,2015-12-30 20:49:01,2,0,3,2,1,33754,2115,6333,11,854,2911,1,45.8207,0,0,455,0.4582
5503,48105267,1,521,12,75,346,Blocks,887290,572,2018-01-04 23:53:38,0,0,3,13,3,1180,712,97,12,68,158,3,70.9845,0,0,411,0.7098
5504,33848369,1,522,14,71,363,Blocks,2970947,570,2015-11-21 20:44:38,4,0,5,1,1,154455,4689,3703,0,6438,8830,1,69.844,0,0,403,0.6984
5505,38437157,1,522,14,71,505,Blocks,5612858,701,2016-07-18 12:48:45,4,0,3,1,1,13729,794,249,0,585,1131,1,72.7401,0,0,515,0.7274
5506,33024611,1,523,11,72,380,Blocks,2317535,762,2015-10-08 19:41:24,1,0,3,1,1,4738,970,134,3,139,575,1,84.6658,0,0,646,0.8467
5507,46317452,1,523,11,72,223,Blocks,3635454,963,2017-09-20 8:50:49,0,0,10,6,1,4577,526,21,9,259,489,1,27.9046,0,0,269,0.279
5508,33024611,1,523,11,72,212,Blocks,2317535,762,2015-10-08 19:41:24,1,0,3,1,1,4738,970,134,3,139,575,1,84.6658,0,0,646,0.8467
5509,29351454,1,524,10,70,292,Blocks,203657,18663,2015-03-30 16:30:09,2,1,7,6,3,44853,5098,6963,36,873,4383,3,86.3398,0,0,16130,0.8634
5510,52737210,1,524,10,70,360,Blocks,1426227,4370,2018-10-10 9:42:32,3,0,21,1,10,59120,5053,2311,28,881,5122,10,34.4025,9,0,1523,0.344
5511,28535177,1,525,11,72,392,Blocks,3044206,1363,2015-02-16 5:41:13,0,0,3,10,2,1299,282,4,74,35,335,2,58.9212,2,0,852,0.5892
5512,39313933,1,525,11,72,404,Blocks,3363481,501,2016-09-04 5:51:45,1,0,2,1,3,12931,443,743,0,339,2042,3,80.2734,0,0,411,0.8027
5513,41722573,1,525,11,72,257,Blocks,982149,830,2017-01-18 14:56:39,0,1,2,4,3,7177,2725,618,5,357,1128,3,41.6965,0,0,349,0.417
5514,28825968,1,526,16,70,359,Blocks,22656,1105,2015-03-03 7:07:28,5,0,9,5,3,1089674,16323,6843,50,34559,50707,1,37.1841,0,3,412,0.3718
5515,12055423,1,526,16,70,263,Blocks,22656,1006,2012-08-21 13:01:14,5,0,7,9,2,1089674,16323,6843,50,34559,50707,2,31.9486,0,2,323,0.3195
5516,32950693,1,527,12,75,385,Blocks,4053652,622,2015-10-05 14:10:54,1,0,3,0,1,17877,1731,24,0,462,879,1,67.6236,0,0,424,0.6762
5517,47826774,1,527,12,75,434,Blocks,7932474,675,2017-12-15 6:13:13,0,0,2,0,1,1,0,0,5,1,18,1,63.6095,0,0,430,0.6361
5518,33163572,1,528,10,70,414,Blocks,5073070,1327,2015-10-16 6:09:05,0,1,5,1,2,462,13,4,14,28,80,2,43.1022,1,0,578,0.431
5519,6702820,1,528,10,70,517,Blocks,328676,977,2011-07-15 4:53:26,25,0,5,10,6,3824,152,1,61,111,365,1,64.6045,0,0,637,0.646
5520,10535846,1,528,10,70,349,Blocks,1033239,630,2012-05-10 14:12:05,24,0,3,6,2,10481,66,7,3,91,131,2,81.4353,0,0,522,0.8144
5521,1463897,1,528,10,70,375,Blocks,160950,1215,2009-09-23 4:08:29,1,0,3,0,1,2187,315,2,65,68,315,1,47.549,1,0,582,0.4755
5522,28989683,1,529,12,75,317,Blocks,1622493,1300,2015-03-11 14:44:20,1,0,11,0,1,62679,2427,1326,5,2186,4236,1,34.1276,0,1,444,0.3413
5523,29564495,1,529,12,75,333,Blocks,1622493,2864,2015-04-10 14:50:50,2,3,11,4,4,62679,2427,1326,5,2186,4236,4,28.7142,6,0,833,0.2871
5524,37814532,1,530,11,72,566,Blocks,535060,1846,2016-06-14 14:13:20,1,0,3,0,1,4303,317,5,20,139,266,1,81.7936,0,0,1514,0.8179
5525,35732959,1,530,11,72,530,Blocks,2216670,663,2016-03-01 20:36:41,1,0,2,7,3,988,59,7,2,43,62,3,80.2711,0,0,533,0.8027
5526,29922357,1,531,14,71,240,Blocks,4841608,560,2015-04-28 14:27:56,0,0,3,1,1,16,1,0,0,2,2,1,55.2398,0,0,311,0.5524
5527,5062548,1,531,14,71,324,Blocks,330057,520,2011-02-21 5:11:37,2,0,2,3,2,66037,2249,90,93,1285,2262,2,61.1855,0,0,320,0.6119
5528,27867625,1,532,11,90,247,Blocks,1221571,395,2015-01-09 19:17:07,10,0,2,1,1,287031,9408,1784,13,7385,14000,1,61.3636,0,0,243,0.6136
5529,9371681,1,532,11,90,289,Blocks,228171,811,2012-02-21 3:21:22,33,0,5,4,2,67486,1838,312,10,968,1800,2,39.7783,0,0,323,0.3978
5530,34377382,1,533,10,70,236,Blocks,4910279,487,2015-12-20 2:18:55,0,0,2,2,1,8939,156,49,4,527,790,1,91.1885,0,0,445,0.9119
5531,6649255,1,533,10,70,479,Blocks,14419,556,2011-07-11 11:15:17,1,0,2,0,1,44693,8247,54,5,1066,3062,1,95.4306,0,0,543,0.9543
5532,33590331,1,534,14,71,569,Blocks,1443521,1455,2015-11-08 3:14:51,1,0,6,1,2,829,12,1,0,32,48,2,62.7674,0,0,939,0.6277
5533,45335154,1,534,14,71,541,Blocks,5430666,1009,2017-07-26 18:48:02,0,0,2,0,1,747,84,4,20,16,81,1,53.5225,0,0,547,0.5352
5534,31108807,1,535,15,73,273,Blocks,4811470,358,2015-06-29 6:06:05,1,0,3,2,2,956,172,28,1,44,63,2,79.6657,0,0,286,0.7967
5535,49063686,1,535,15,73,387,Blocks,2310289,1061,2018-03-02 6:13:01,1,0,3,1,5,35411,2741,6982,1,2218,3772,2,85.8473,0,0,922,0.8585
5536,29618084,1,536,14,70,376,Blocks,2587435,882,2015-04-14 2:13:34,0,0,5,0,1,151940,9992,929,44,3510,9664,1,45.3527,2,0,405,0.4535
5537,46802679,1,536,14,70,396,Blocks,4726718,443,2017-10-18 4:11:14,1,0,2,1,1,4295,1385,3,14,100,301,1,88.3929,0,0,396,0.8839
5538,38022714,1,536,14,70,486,Blocks,6026516,1687,2016-06-24 22:01:22,24,0,4,4,1,1133,217,2,3,29,51,1,48.881,0,0,830,0.4888
5539,43527053,1,536,14,70,466,Blocks,6195990,527,2017-04-20 18:20:45,2,0,2,0,1,171,7,0,24,9,117,1,87.5,0,0,462,0.875
5540,46206585,1,536,14,70,685,Blocks,8200290,1107,2017-09-13 20:47:30,1,0,2,7,1,1656,80,227,34,145,337,1,61.449,1,0,687,0.6145
5541,51853594,1,536,14,70,458,Blocks,209103,1312,2018-08-15 5:54:35,0,0,9,0,1,238633,9610,2390,15,6231,27150,1,49.5849,0,0,657,0.4958
5542,45132483,1,536,14,70,597,Blocks,5877632,2030,2017-07-16 19:22:33,3,2,4,3,2,1395,2,1,4,109,168,2,67.173,0,0,1371,0.6717
5543,40068496,1,536,14,70,541,Blocks,209103,1103,2016-10-16 8:42:43,3,0,4,0,1,238633,9610,2390,15,6231,27150,1,50.7194,1,0,564,0.5072
5544,50360146,1,536,14,70,543,Blocks,7765139,645,2018-05-15 22:45:35,2,0,3,8,2,8379,985,34,2,298,645,2,84.3558,0,0,550,0.8436
5545,45132483,1,536,14,70,601,Blocks,5877632,2030,2017-07-16 19:22:33,3,2,4,3,2,1395,2,1,4,109,168,2,67.173,0,0,1371,0.6717
5546,34089022,1,537,12,75,377,Blocks,3582362,531,2015-12-04 13:01:59,0,0,3,2,2,782,25,22,6,76,136,2,81.0861,0,0,433,0.8109
5547,34241033,1,537,12,75,302,Blocks,335858,747,2015-12-12 14:36:57,1,0,6,3,2,615495,29582,3077,21,15843,26136,2,41.8449,0,1,313,0.4184
5548,33049216,1,538,12,75,327,Blocks,1414214,619,2015-10-10 1:10:30,0,0,2,2,1,2411,483,34,19,142,232,1,58.1731,0,0,363,0.5817
5549,28236909,1,538,12,75,468,Blocks,1149423,1361,2015-01-30 13:23:09,3,1,7,0,2,11553,1940,731,66,350,1496,2,63.8158,0,0,873,0.6382
5550,29796722,1,539,13,76,204,Blocks,12960,790,2015-04-22 11:53:29,5,0,2,0,2,229053,4632,150,2,3825,6001,2,33.5019,0,1,265,0.335
5551,2315707,1,539,13,76,393,Blocks,227140,974,2010-02-23 2:13:35,2,0,2,1,4,27524,655,7,5,581,758,4,48.621,1,0,476,0.4862
5552,31907655,1,540,10,70,337,Blocks,2644013,761,2015-08-09 18:46:03,3,0,2,11,2,102,8,1,12,11,61,2,44.1406,1,0,339,0.4414
5553,28531808,1,540,10,70,394,Blocks,3695628,904,2015-02-15 22:14:03,0,0,3,0,2,1117,512,37,5,52,260,2,71.2871,0,0,648,0.7129
5554,51887383,1,540,10,70,519,Blocks,4562204,1572,2018-08-17 1:48:30,1,0,8,0,1,2106,47,16,2,106,147,1,68.6671,0,0,1087,0.6867
5555,28553441,1,541,10,70,202,Blocks,2970947,628,2015-02-17 1:52:29,1,0,2,4,1,154455,4689,3703,0,6438,8830,1,79.5918,0,0,507,0.7959
5556,45763774,1,541,10,70,152,Blocks,2651934,1687,2017-08-18 19:25:31,2,0,3,0,2,171,10,2,7,10,41,2,81.3302,0,0,1394,0.8133
5557,47672771,1,541,10,70,219,Blocks,8013471,935,2017-12-06 11:03:08,2,0,6,2,2,2925,34,340,4,206,489,2,79.4926,0,0,752,0.7949
5558,29636449,1,542,13,76,690,Blocks,1361506,1276,2015-04-14 20:05:56,0,0,9,4,1,8128,3443,5696,1,279,1226,1,58.1323,0,0,747,0.5813
5559,1879292,1,542,13,76,352,Blocks,178526,1626,2009-12-10 7:48:47,79,0,3,4,7,28266,558,36,28,321,656,7,21.9572,1,0,359,0.2196
5560,29696932,1,542,13,76,395,Blocks,4702544,452,2015-04-17 10:38:49,8,0,2,1,1,4754,78,249,6,244,406,1,86.8365,0,0,409,0.8684
5561,32747752,1,542,13,76,346,Blocks,1615086,1116,2015-09-23 19:17:54,1,0,5,0,1,8843,132,54,1,120,153,1,59.4449,0,0,664,0.5944
5562,28784246,1,543,14,71,381,Blocks,4584290,403,2015-02-28 16:48:03,0,0,2,1,1,665,283,16,0,66,107,1,93.6585,0,0,384,0.9366
5563,44119691,1,543,14,71,411,Blocks,4578327,710,2017-05-22 18:25:41,0,0,3,0,1,1277,78,78,20,93,229,1,58.2985,0,0,418,0.583
5564,32017136,1,544,10,100,263,Blocks,4544328,1405,2015-08-14 19:07:03,0,0,4,0,2,3253,1051,23,63,262,547,1,22.5989,1,0,320,0.226
5565,31974723,1,544,10,100,263,Blocks,4544328,945,2015-08-12 20:24:56,2,0,4,6,2,3253,1051,23,63,262,547,2,33.543,0,0,320,0.3354
5566,30704535,1,545,19,73,908,Blocks,1872207,1061,2015-06-08 8:37:57,0,0,2,3,1,386,62,4,10,21,66,1,86.3551,0,0,924,0.8636
5567,30108128,1,545,19,73,1226,Blocks,1911941,1589,2015-05-07 17:39:29,2,0,4,8,3,4556,572,26,4,202,367,3,82.2236,0,0,1309,0.8222
5568,30717203,1,546,12,75,232,Blocks,4320665,1637,2015-06-08 19:11:07,1,0,9,0,1,5433,637,786,7,190,1066,1,36.0536,0,3,592,0.3605
5569,53365215,1,546,12,75,287,Blocks,9114020,831,2018-11-18 20:38:33,0,0,3,1,1,1014,117,99,0,27,58,1,86.9928,0,0,729,0.8699
5570,33886333,1,547,14,78,659,Blocks,5584600,782,2015-11-24 5:50:43,0,0,3,7,2,1028,7,1,0,50,74,2,89.5275,0,0,701,0.8953
5571,34556415,1,547,14,78,395,Blocks,1491895,724,2016-01-01 13:08:26,1,0,3,9,3,429120,6063,3083,13,19347,42556,3,76.066,0,0,553,0.7607
5572,29381043,1,548,16,75,555,Blocks,131872,783,2015-04-01 0:47:23,1,0,2,7,1,275664,1901,1203,6,8842,12122,1,70.4315,0,0,555,0.7043
5573,4059365,1,548,16,75,551,Blocks,131872,940,2010-10-30 15:32:43,61,0,2,6,2,275664,1901,1203,6,8842,12122,1,58.3949,0,0,553,0.5839
5574,31209415,1,548,16,75,638,Blocks,131872,1083,2015-07-03 14:42:51,2,0,3,1,1,275664,1901,1203,6,8842,12122,1,59.2491,1,0,647,0.5925
5575,28774539,1,549,17,70,1395,Blocks,2839969,1565,2015-02-27 21:23:42,1,0,2,2,1,63,7,0,1,10,21,1,89.1551,0,0,1414,0.8916
5576,32227132,1,549,17,70,702,Blocks,5179371,1121,2015-08-26 12:48:53,1,3,3,2,3,89,33,0,0,7,16,3,75.6184,1,0,856,0.7562
5577,28729610,1,550,11,100,475,Blocks,4607150,546,2015-02-25 21:08:15,3,0,2,0,1,447,17,2,6,6,30,1,86.3555,0,0,481,0.8636
5578,7635974,1,550,11,100,475,Blocks,276052,1227,2011-10-03 13:54:34,7,1,7,4,2,327136,7060,533,132,3051,8540,2,67.3913,1,1,837,0.6739
5579,30300153,1,551,14,71,649,Blocks,3669624,2085,2015-05-18 9:57:23,1,1,10,4,4,23896,2382,528,5,1282,4775,3,51.1871,1,1,1078,0.5119
5580,42367641,1,551,14,71,493,Blocks,6294989,938,2017-02-21 12:41:22,0,0,2,0,1,19,4,0,7,2,24,1,75.3454,0,0,709,0.7535
5581,30662741,1,552,14,78,405,Blocks,4271479,1304,2015-06-05 9:15:11,7,0,3,0,1,2597,755,73,1,84,276,1,41.9281,0,0,548,0.4193
5582,4448435,1,552,14,78,349,Blocks,47773,495,2010-12-15 9:29:11,22,0,4,5,1,220928,8683,1200,24,3162,6027,1,76.0081,0,0,377,0.7601
5583,30970692,1,553,16,75,371,Blocks,2947592,701,2015-06-22 0:30:09,4,0,3,3,2,12700,1043,361,60,608,1307,2,56.7989,0,0,401,0.568
5584,35953916,1,553,16,75,294,Blocks,2970947,1231,2016-03-12 4:52:06,5,1,10,2,1,154455,4689,3703,0,6438,8830,1,47.9968,2,1,599,0.48
5585,50108081,1,553,16,75,290,Blocks,9378561,709,2018-04-30 20:54:14,1,0,4,0,1,163,17,7,9,12,48,1,47.0588,0,0,336,0.4706
5586,31387599,1,554,11,72,352,Blocks,2398715,1043,2015-07-13 15:36:46,2,1,4,7,2,3036,252,34,129,120,780,2,35.0943,1,0,372,0.3509
5587,12890942,1,554,11,72,486,Blocks,1621622,817,2012-10-15 7:20:57,0,0,2,0,3,4289,794,189,14,188,433,1,58.8378,0,0,486,0.5884
5588,11953480,1,554,11,72,258,Blocks,1401455,343,2012-08-14 13:36:40,0,0,2,0,1,843,46,6,46,44,203,1,73.8372,0,0,254,0.7384
5589,27752646,1,555,10,70,209,Blocks,912935,1320,2015-01-03 7:14:44,4,0,3,0,1,4094,438,15,56,107,388,1,33.4595,0,0,442,0.3346
5590,34592572,1,555,10,70,180,Blocks,4168607,589,2016-01-04 13:45:29,0,0,2,2,1,8912,308,3840,21,562,1531,1,43.3898,0,0,256,0.4339
5591,34314187,1,556,17,70,432,Blocks,5673694,453,2015-12-16 14:08:23,0,0,2,1,1,16,0,0,0,1,1,1,94.3231,0,0,432,0.9432
5592,14033459,1,556,17,70,381,Blocks,1922429,664,2012-12-25 19:35:01,1,0,2,3,3,228,13,0,1,4,9,2,57.2932,0,0,381,0.5729
5593,34314187,1,557,11,72,319,Blocks,5673694,453,2015-12-16 14:08:23,0,0,2,1,1,16,0,0,0,1,1,1,94.3231,0,0,432,0.9432
5594,40385300,1,557,11,72,312,Blocks,5892277,405,2016-11-02 16:44:53,1,0,2,4,1,71,8,0,3,9,21,1,93.5961,0,0,380,0.936
5595,27968795,1,558,11,100,627,Blocks,3710879,2424,2015-01-15 16:57:28,4,0,3,2,2,868,10,3,1,65,83,2,91.82,0,0,2245,0.9182
5596,27968795,1,558,11,100,506,Blocks,3710879,2424,2015-01-15 16:57:28,4,0,3,2,2,868,10,3,1,65,83,2,91.82,0,0,2245,0.9182
5597,29224358,1,559,12,91,382,Blocks,4678455,1392,2015-03-24 3:09:17,0,0,2,0,1,195,46,1,9,7,36,1,93.3663,0,0,1323,0.9337
5598,29224358,1,559,12,91,382,Blocks,4678455,1392,2015-03-24 3:09:17,0,0,2,0,1,195,46,1,9,7,36,1,93.3663,0,0,1323,0.9337
5599,30904199,1,560,10,70,186,Blocks,65863,1188,2015-06-17 23:34:35,0,2,8,6,2,338593,7717,1507,5,10151,23638,2,39.5466,0,1,471,0.3955
5600,47751818,1,560,10,70,294,Blocks,2107876,1105,2017-12-11 11:20:16,2,0,3,1,1,28088,89,432,8,1676,2715,1,81.6964,0,0,915,0.817
5601,38506086,1,560,10,70,699,Blocks,2935383,991,2016-07-21 13:48:29,2,0,2,0,4,424,213,59,17,22,105,2,71.8563,1,0,720,0.7186
5602,32567769,1,561,12,100,280,Blocks,3850595,1167,2015-09-14 14:47:50,2,0,4,10,3,21428,3551,1714,50,971,2893,3,67.9293,1,0,807,0.6793
5603,32567769,1,561,12,100,284,Blocks,3850595,1167,2015-09-14 14:47:50,2,0,4,10,3,21428,3551,1714,50,971,2893,3,67.9293,1,0,807,0.6793
5604,33427669,1,562,13,76,277,Blocks,395202,1591,2015-10-30 2:20:27,2,0,10,0,1,28820,1270,838,46,991,1875,1,51.8216,0,0,825,0.5182
5605,41235194,1,562,13,76,472,Blocks,0,719,2016-12-20 5:01:37,0,0,4,22,3,0,0,0,261014,224615,0,0,66.8975,1,0,483,0.669
5606,30942399,1,563,18,77,1385,Blocks,2798367,4331,2015-06-19 15:54:29,2,0,8,4,3,4052,1325,137,8,136,338,3,80.1307,0,0,3678,0.8013
5607,30942399,1,563,18,77,1660,Blocks,2798367,4331,2015-06-19 15:54:29,2,0,8,4,3,4052,1325,137,8,136,338,3,80.1307,0,0,3678,0.8013
5608,33110469,1,564,14,71,481,Blocks,2557554,1470,2015-10-13 18:54:15,1,1,5,1,1,2920,126,17,15,107,327,1,35.1789,2,0,521,0.3518
5609,30720879,1,564,14,71,456,Blocks,4984231,754,2015-06-08 23:52:53,0,0,2,1,1,298,5,0,0,18,28,1,84.5254,0,0,650,0.8453
5610,33693326,1,565,11,83,336,Blocks,184201,640,2015-11-13 13:00:54,2,0,2,10,3,3572,504,11,11,166,2932,3,51.4729,1,0,332,0.5147
5611,15861715,1,565,11,83,429,Blocks,773730,538,2013-04-07 11:11:11,2,0,2,0,2,138,15,0,1,3,6,1,86.372,0,0,469,0.8637
5612,6634839,1,565,11,83,406,Blocks,172406,730,2011-07-09 12:51:57,0,0,3,0,1,7230,339,5,159,18,608,1,61.0884,0,0,449,0.6109
5613,31761751,1,566,10,70,396,Blocks,1223532,1017,2015-08-01 12:18:01,0,0,2,0,1,5124,150,43,8,243,544,1,74.6109,0,0,767,0.7461
5614,30781601,1,566,10,70,355,Blocks,1221571,825,2015-06-11 13:03:10,2,0,5,0,1,287031,9408,1784,13,7385,14000,1,50.8373,0,0,425,0.5084
5615,28444234,1,567,11,72,404,Blocks,535480,1102,2015-02-11 0:05:27,1,0,3,1,1,11880,347,166,2,702,965,1,72.8921,0,0,804,0.7289
5616,39690199,1,567,11,72,268,Blocks,6147506,670,2016-09-25 18:16:10,1,0,5,2,2,6205,2041,184,17,321,683,2,43.4269,0,0,294,0.4343
5617,5965083,1,567,11,72,414,Blocks,589395,638,2011-05-11 13:30:35,2,0,2,0,1,1941,11,0,15,21,71,1,95.9815,0,0,621,0.9598
5618,33657733,1,568,22,72,1303,Blocks,2746793,1441,2015-11-11 18:49:35,0,0,2,8,2,2530,79,5,4,29,45,2,96.4335,0,0,1406,0.9643
5619,33652539,1,568,22,72,904,Blocks,4224337,1075,2015-11-11 14:21:48,1,1,3,7,1,6775,804,5,5,366,1230,1,87.66,0,0,959,0.8766
5620,33796320,1,569,13,71,249,Blocks,5485809,611,2015-11-19 5:58:56,0,0,3,18,3,815,6,9,0,67,94,3,48.0392,0,0,294,0.4804
5621,45149066,1,569,13,71,329,Blocks,1911941,745,2017-07-17 16:18:23,1,0,4,2,1,4556,572,26,4,202,367,1,67.9625,0,0,507,0.6796
5622,28152669,1,570,14,71,353,Blocks,891092,762,2015-01-26 14:59:52,0,1,2,1,4,1581,62,3,7,101,218,4,46.8549,0,0,365,0.4685
5623,39133913,1,570,14,71,401,Blocks,4171135,782,2016-08-24 22:24:45,1,0,2,8,5,956,253,556,1,27,43,5,51.0773,0,0,403,0.5108
5624,28670616,1,571,22,75,847,Blocks,2629263,2061,2015-02-23 9:34:58,6,0,3,0,1,1506,84,8,51,37,229,1,49.7093,1,0,1026,0.4971
5625,6551197,1,571,22,75,926,Blocks,793522,1265,2011-07-01 17:21:23,2,0,5,1,1,32480,1876,404,6,807,1040,1,75.1185,0,0,951,0.7512
5626,11158769,1,571,22,75,753,Blocks,970612,1351,2012-06-22 14:57:22,1,0,2,2,1,1000,161,5,3,37,68,1,55.3994,0,0,749,0.554
5627,28965796,1,572,18,78,581,Blocks,4337608,805,2015-03-10 14:02:25,0,0,2,1,1,24,0,0,1,1,5,1,71.9363,0,0,587,0.7194
5628,12595609,1,572,18,78,505,Blocks,1645832,686,2012-09-26 6:16:06,1,0,2,5,1,209,17,1,0,22,29,1,73.7374,0,0,511,0.7374
5629,32728994,1,573,12,75,271,Blocks,5338119,1283,2015-09-23 0:06:32,3,0,3,0,4,1419,766,3,4,22,72,4,38.4259,1,0,498,0.3843
5630,5105214,1,573,12,75,341,Blocks,307767,467,2011-02-24 13:21:41,1,0,3,1,1,6374,758,130,25,159,605,1,76.7094,0,0,359,0.7671
5631,12663382,1,573,12,75,390,Blocks,21441,1222,2012-09-30 17:29:40,4,0,5,1,1,58270,2314,209,41,590,1968,1,65.3627,0,0,802,0.6536
5632,30710409,1,574,12,75,379,Blocks,749588,442,2015-06-08 13:27:49,0,0,2,2,2,42463,548,120,32,1269,1752,2,84.6501,0,0,375,0.8465
5633,7911278,1,574,12,75,232,Blocks,203908,1211,2011-10-27 3:00:10,3,0,12,1,2,1196,205,10,4,41,76,2,49.0099,0,0,594,0.4901
5634,32261979,1,575,20,70,868,Blocks,4565367,1449,2015-08-28 1:28:24,0,0,8,0,2,6972,346,587,215,271,1317,2,63.8661,1,0,935,0.6387
5635,36633085,1,575,20,70,394,Blocks,6204582,1025,2016-04-14 20:14:07,0,0,5,2,1,163,11,3,1,19,34,1,76.4313,0,0,801,0.7643
5636,30308121,1,576,13,76,174,Blocks,3850595,550,2015-05-18 16:12:16,1,0,4,3,2,21428,3551,1714,50,971,2893,2,33.6898,1,0,189,0.3369
5637,45592754,1,576,13,76,321,Blocks,7095601,1346,2017-08-09 13:54:47,1,0,8,0,1,945,21,26,1,56,70,1,40.3238,0,1,548,0.4032
5638,32149112,1,577,14,71,539,Blocks,558433,1393,2015-08-21 20:54:53,2,0,6,4,2,12418,1958,116,130,613,1294,2,55.8488,0,0,783,0.5585
5639,40817502,1,577,14,71,502,Blocks,4936904,2587,2016-11-26 10:45:09,2,2,16,4,6,26702,3091,304,1,898,2821,6,40.3086,0,0,1071,0.4031
5640,32159056,1,578,23,73,1111,Blocks,3528206,1185,2015-08-22 17:48:56,1,0,2,1,1,63,23,0,11,16,54,1,93.3502,0,0,1109,0.9335
5641,40912786,1,578,23,73,794,Blocks,1554386,985,2016-12-01 14:11:04,6,0,5,0,2,15695,493,737,10,411,1006,2,82.996,0,0,820,0.83
5642,31532844,1,579,14,71,484,Blocks,227140,587,2015-07-21 7:29:34,6,0,2,5,3,27524,655,7,5,581,758,3,82.0598,0,0,494,0.8206
5643,31830112,1,579,14,71,391,Blocks,3832970,660,2015-08-05 10:37:31,1,0,4,0,1,320105,13006,29017,0,11347,27454,1,61.435,1,0,411,0.6143
5644,29978193,1,580,11,72,235,Blocks,131872,1844,2015-04-30 21:35:55,3,0,7,3,3,275664,1901,1203,6,8842,12122,3,36.1426,1,0,669,0.3614
5645,48585927,1,580,11,72,422,Blocks,6073886,3465,2018-02-02 15:30:28,1,1,10,0,1,1719,317,958,0,69,125,1,50.0286,0,0,1751,0.5003
5646,29656448,1,581,14,85,666,Blocks,87197,1512,2015-04-15 17:05:28,14,0,4,10,4,18933,2674,136,32,454,926,4,46.1137,2,1,706,0.4611
